,시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액,건축년도,도로명,해제사유발생일
7211,경기도 용인처인구 양지면 제일리,5**,단독,8m미만,338.43,459.0,202104,22,89300,2008.0,중부대로2401번길,20210426.0
7212,경기도 용인처인구 양지면 제일리,1**,단독,8m미만,115.05,484.0,202106,11,52000,2000.0,중부대로2517번길,
7217,경기도 용인처인구 양지면 제일리,5**,단독,8m미만,338.43,789.0,202105,26,89370,2008.0,중부대로2401번길,
7226,경기도 용인처인구 양지면 주북리,4**,단독,8m미만,84.91,469.0,202103,25,55300,2020.0,송주로225번길,
7227,경기도 용인처인구 양지면 주북리,4**,단독,8m미만,184.07,469.0,202102,16,55310,2020.0,송주로225번길,20210325.0
7229,경기도 용인처인구 양지면 주북리,3**,단독,8m미만,119.7,541.0,202103,10,54414,2017.0,주북로235번길,
7230,경기도 용인처인구 양지면 주북리,2**,단독,12m미만,86.25,724.0,202103,11,52000,2003.0,주북로,
7239,경기도 용인처인구 양지면 추계리,2**,단독,8m미만,197.19,427.0,202106,14,52000,2015.0,추계로88번길,
7252,경기도 용인처인구 양지면 평창리,3**,단독,8m미만,148.97,443.0,202106,10,52432,2003.0,남평로259번길,
7254,경기도 용인처인구 양지면 평창리,3**,단독,8m미만,185.24,506.0,202105,19,52000,2002.0,남평로259번길,
7257,경기도 용인처인구 양지면 평창리,3**,단독,8m미만,406.22,543.0,202106,14,66000,2011.0,평창로2번길,
7258,경기도 용인처인구 양지면 평창리,2**,단독,8m미만,180.64,544.0,202101,27,75544,2007.0,평창로19번길,
7259,경기도 용인처인구 양지면 평창리,3**,단독,8m미만,199.67,545.0,202106,9,61500,2001.0,남평로259번길,
7260,경기도 용인처인구 양지면 평창리,2**,단독,8m미만,191.69,556.0,202102,23,88706,2011.0,평창로19번길,
7261,경기도 용인처인구 양지면 평창리,2*,단독,8m미만,212.88,561.0,202106,18,61000,2010.0,새실로75번길,
7263,경기도 용인처인구 양지면 평창리,2*,단독,8m미만,212.98,586.0,202102,1,55520,2014.0,새실로75번길,
7267,경기도 용인처인구 양지면 평창리,1*,단독,8m미만,194.09,638.0,202101,6,69610,2016.0,새실로,
7271,경기도 용인처인구 양지면 평창리,1*,단독,8m미만,203.98,667.0,202106,5,56000,2011.0,새실로75번길,
7305,경기도 용인처인구 운학동,3**,단독,8m미만,152.3,939.0,202102,20,55000,2008.0,동부로,20210415.0
7310,경기도 용인처인구 원삼면 두창리,8*,단독,8m미만,202.12,660.0,202103,22,65680,2000.0,보개원삼로,
7319,경기도 용인처인구 원삼면 사암리,2**,단독,8m미만,119.94,572.0,202107,7,51000,2021.0,원양로333번길,
7320,경기도 용인처인구 원삼면 사암리,2**,단독,8m미만,119.94,572.0,202106,21,51000,2021.0,원양로333번길,20210715.0
7322,경기도 용인처인구 원삼면 사암리,2**,단독,8m미만,119.94,605.0,202106,21,52000,2021.0,원양로333번길,20210714.0
7323,경기도 용인처인구 원삼면 사암리,*,단독,8m미만,205.46,611.0,202107,5,90000,2013.0,모래실로40번길,
7325,경기도 용인처인구 원삼면 사암리,4**,단독,8m미만,198.0,855.0,202106,22,89000,2010.0,사암로16번길,
7326,경기도 용인처인구 원삼면 사암리,6**,단독,8m미만,83.78,1146.0,202107,22,68000,2005.0,용암로,
7328,경기도 용인처인구 원삼면 좌항리,*,단독,8m미만,136.94,219.0,202101,16,52500,2018.0,죽양대로1980번길,
7331,경기도 용인처인구 원삼면 좌항리,*,단독,8m미만,326.15,237.0,202101,16,80800,2020.0,죽양대로1980번길,
7349,경기도 용인처인구 이동읍 묵리,6**,단독,8m미만,199.76,502.0,202106,12,66700,2008.0,한덕로,
7353,경기도 용인처인구 이동읍 묵리,7**,단독,8m미만,168.13,660.0,202103,12,89900,2008.0,이원로246번길,
7377,경기도 용인처인구 이동읍 서리,4**,단독,8m미만,234.76,495.0,202104,7,57800,2017.0,서리로101번길,
7378,경기도 용인처인구 이동읍 서리,9**,단독,8m미만,232.44,542.0,202102,20,77700,2008.0,산내촌로,
7381,경기도 용인처인구 이동읍 서리,9**,단독,8m미만,253.72,601.0,202102,4,68850,2009.0,산내촌로,
7382,경기도 용인처인구 이동읍 서리,9**,단독,8m미만,176.6,725.0,202103,30,52800,2002.0,산내촌로,
7383,경기도 용인처인구 이동읍 서리,9**,단독,8m미만,199.35,922.0,202101,12,70000,2008.0,산내촌로,
7394,경기도 용인처인구 이동읍 시미리,3**,단독,8m미만,139.2,912.0,202103,9,69500,2010.0,백옥대로186번길,
7395,경기도 용인처인구 이동읍 어비리,4**,단독,8m미만,83.89,998.0,202107,1,78400,2019.0,경기동로1024번길,
7407,경기도 용인처인구 이동읍 천리,1**,단독,12m미만,128.17,400.0,202104,24,60000,2014.0,백옥대로587번길,20210726.0
7409,경기도 용인처인구 이동읍 천리,2*,단독,8m미만,299.48,617.0,202105,10,64000,2012.0,적동로35번길,
7420,경기도 용인처인구 포곡읍 둔전리,1**,단독,8m미만,305.83,207.5,202106,2,70000,2011.0,포곡로123번길,
7427,경기도 용인처인구 포곡읍 마성리,4**,단독,12m미만,144.08,266.0,202105,24,50800,2014.0,석성로888번길,
7428,경기도 용인처인구 포곡읍 마성리,4**,단독,12m미만,144.08,266.0,202105,24,50800,2014.0,석성로888번길,20210609.0
7430,경기도 용인처인구 포곡읍 마성리,4**,단독,8m미만,135.25,413.0,202106,1,54000,2011.0,석성로888번길,20210708.0
7431,경기도 용인처인구 포곡읍 마성리,4**,단독,8m미만,135.25,413.0,202107,8,54000,2011.0,석성로888번길,
7432,경기도 용인처인구 포곡읍 마성리,4**,단독,8m미만,135.25,414.0,202105,18,53500,2011.0,석성로888번길,
7440,경기도 용인처인구 포곡읍 삼계리,5**,단독,8m미만,195.71,600.0,202101,20,68000,2002.0,포곡로246번길,
